title,story_points,state,type,priority,board_id,sprint_id,issue_id
als gebruiker wil ik de inhoud van een verpakking zien het bestellingsoverzicht van mijn maaltijden zodat ik weet welke verpakking ik heb besteld,3.0,closed,Story,Normal,1,1,121321
als medewerker wil ik een foto toevoegen aan een webshop recept zodat de klant weet hoe het gerecht eruit ziet,3.0,closed,Story,Normal,1,1,121219
als zorgboodschap wil ik dat mijn microservices met elkaar kunnen communiceren op basis van security groups plaats van ip whitelisting zodat ik bij schalende servers niet mijn inbound rules hoef te daten,5.0,closed,Story,Normal,1,1,121211
price service improvements betere error handling en consistente responses,5.0,closed,Verbetering,Normal,1,1,121193
als medewerker wil ik de receptenmodule de bereidingstijd type gerecht en maaltijdsoort ontbijtlunchdinerdessert kunnen meegeven bij een recept zodat mensen daarop kunnen filteren bij het zoeken naar recepten,5.0,closed,Story,Normal,1,1,121190
als medewerker wil ik aan een webshop ingredienten en extra ingredienten koppelen zodat mensen ook vanuit de webshop op basis van recepten kunnen bestellen,5.0,closed,Story,Normal,1,1,121189
spike uitzoeken de productvolgorde binnen krijgen zoals hij inriver staat,3.0,closed,Taak,Normal,1,1,121108
als developer wil ik dat budgetten uit mo voor een ontvanger van zb op te halen zijn zodat ik een directe link vanuit de webshop kan plaatsen,3.0,closed,Story,Normal,1,1,121048
als zb wil ik dat er meerdere maaltijdorders geplaatst kunnen worden op een leverdag zodat dit geen problemen oplevert bij het bestellen,5.0,closed,Story,Normal,1,1,120868
verwerken time slot type grocery meals order service,5.0,closed,Taak,Normal,1,1,120786
spike uitzoeken hoe de ontvanger categorie bepaling gaan doen,8.0,closed,Taak,Normal,1,1,120253
maaltijdproducten moeten een product group hebben,1.0,closed,Taak,Normal,1,1,120237
valideer sync properties en gebruik alleen die data voor portal maaltijden mijnomgeving,2.0,closed,Taak,Normal,1,1,120231
maaltijden users moeten aangemaakt worden keycloak als ze voor het eerst geupsert worden,1.0,closed,Taak,Normal,1,1,120219
als developer wil ik het budgettenoverzicht uit webshop verwijderen zodat niet dubbel de functionaliteit hoeven te ontwikkelen,3.0,closed,Story,Normal,1,1,120078
als besteller wil ik mijn maaltijdbestellingen kunnen zien zodat ik weet wat er besteld,2.0,closed,Story,Normal,1,1,120000
kook inputs ed bij maaltijdbestel stap 1 niet tonen indien er geen recept gekoppeld aan een maaltijdcomponent,3.0,closed,Taak,Normal,1,1,119937
als medewerker wil ik een kookrecept kunnen verwijderen zodat dit niet meer besteld kan worden,3.0,closed,Story,Normal,1,1,119934
als zorgboodschap wil ik dat portal onderscheid tussen orders gemaakt wordt door pakbonnummers niet ordernummers zodat de reset van mijn ordernummers niet voor fouten mijn data zorgt,3.0,closed,Story,Normal,1,1,119771
als ontwikkelaar wil ik de zbmx prijslijn wijzigingen doorvoeren zodat correcte prijzen kunnen tonen,8.0,closed,Story,Normal,1,1,119736
als zorgboodschap wil ik dat duidelijk wat de bron van de order zodat ik weet het een webshop maaltijdbestelling,3.0,closed,Story,Normal,1,1,119735
als zorgboodschap wil ik niet dat mensen producten kunnen bestellen voor ontvangers die niet aan hen gekoppeld zijn zodat mijn orders verantwoord zijn,5.0,closed,Story,Normal,1,1,119731
als besteller wil ik een geplaatste maaltijdorder kunnen wijzigen vanuit stap 2 zodat ik nog aantallen kan wijzigen,8.0,closed,Story,Normal,1,1,119566
als besteller wil ik een geplaatste maaltijdorder kunnen wijzigen vanuit stap 1 zodat ik nog andere type maaltijden kan toevoegen,8.0,closed,Story,Normal,1,1,119565
als besteller wil ik mijn maaltijdenbestelovezicht de totaalprijs zien van mijn geplaatste maaltijdenorder voor een completer beeld,3.0,closed,Story,Normal,1,1,119561
als medewerker wil ik de productgroep kunnen zien bij de zoekresultaten wanneer ik een menu samenstel zodat ik zeker weet dat ik het juiste menucomponent invoer,2.0,closed,Story,Normal,1,1,119536
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik meer informatie kan bekijken van de ingredienten,5.0,closed,Story,Normal,1,1,119529
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik bij behorende extra producten kan bestellen,5.0,closed,Story,Normal,1,1,119528
als besteller wil ik het recept van een maaltijdcomponent kunnen bekijken zodat ik bij weet hoe ik het bereiden moet,5.0,closed,Story,Normal,1,1,119526
automatically create relation productitemgastronormsize based pimjsongnbak consuming productitem,3.0,closed,Taak,Normal,1,1,119505
validate gastronorm sizes within cycle gastronorm size instead package type,2.0,closed,Taak,Normal,1,1,119504
als developer wil ik de meals key voor dieetloze maaltijden toevoegen aan de json van stap 1 zodat ik daarover apart de berekening kan uitvoeren voor het resultaat stap 2,5.0,closed,Story,Normal,1,1,119480
als zorgboodschap wil ik de maaltijdrechten zbxm kunnen aanpassen zodat ik controle heb wat er aan maaltijden besteld kan worden de webshop,5.0,closed,Story,Normal,1,1,119479
productsync van mijn omgeving bijwerken naar de laatste versie,3.0,closed,Taak,Normal,1,1,119477
productsync van de maaltijdmodule bijwerken naar de laatste versie,3.0,closed,Taak,Normal,1,1,119475
als developer wil ik mijnomgeving op python 36 draaien zodat ik van de order service gebruik kan maken,3.0,closed,Story,Normal,1,1,119410
als medewerker wil ik webshop recepten kunnen beheren maaltijdbeheer zodat gebruikers van de webshop deze kunnen zien,8.0,closed,Story,Normal,1,1,118772
als besteller wil ik dat mijn bijgewerkte budgettypes zichtbaar zijn de webshop zodat mijn budgettypes actueel zijn,3.0,closed,Story,Normal,1,1,118686
als besteller wil ik dat mijn bijgewerkte budgettypes zichtbaar zijn mijn omgeving zodat mijn budgettypes actueel zijn,3.0,closed,Story,Normal,1,1,118685
als medewerker wil ik budgettypes kunnen beheren voor ontvangers zodat ik het budget naar mijn wensen kan verdelen,8.0,closed,Story,Normal,1,1,118683
als medewerker wil ik de prijsberekening van een cyclus ook de marge kunnen zien zodat ik weet hoeveel de cyclus ons gemiddeld opbrengt,5.0,closed,Story,Normal,1,1,108095
als zb wil ik dat replacement productitems ook worden doorgezet maaltijdbeheer zodat de dataintegriteit bewaard blijft,5.0,closed,Story,Normal,1,1,116748
als gebruiker wil ik geplaatste maaltijden bestellingen zien een kalender view zodat ik voor deze dagen geen bestelling hoef te plaatsen,8.0,closed,Story,Normal,1,1,106078
als besteller wil ik de status zien van mijn maaltijdbestelling zodat ik weet hoe ver de bestelling het proces zit,3.0,closed,Story,Normal,1,1,111919
